Protein.Name	log2FC.HeLa	log2FC.Fibroblasts	adj.p.val.HeLa	adj.p.val.Fibroblasts	p.val.HeLa	p.val.Fibroblasts	is.sign.HeLa	is.sign.Fibroblasts	conf.int.HeLa	conf.int.Fibroblasts
ALG13	0.470879162490339	-0.599790220988728	0.0161793490107808	0.0623595656222432	0.00951726412398872	0.0440185169098188	*		0.25207995536153	0.573790755159135
ALG1	0.769202168598892	1.05288269832991	0.00366432433934382	0.00133317151799327	0.000862193962198546	0.000313687415998418	*	*	0.180155524926011	0.251619048451866
ALG2	0.516090559344376	1.87896382138932	0.0485202163507854	0.000589211661702503	0.0380550716476748	0.000103978528535736	*	*	0.462485603132367	0.338950848275992
ALG11	-0.183106099699452	0.917281359478708	0.456971843622488	0.00287649145030376	0.421130914710921	0.000865612827713761		*	0.626829360158126	0.284858987036382
RFT1	-0.775420566509578	-0.777123742551412	0.00209957428174537	0.00970627864894556	0.000247008739028867	0.00396907789448907	*	*	0.119286873888754	0.361777427118592
ALG3	2.27233550165092	0.439371663147857	0.00195446845162741	0.0844428252407545	0.000191614554081119	0.0652078263145474	*		0.321053293702106	0.483672770643619
ALG9	0.219652859507425	0.612914679275029	0.040269473990105	8.92435646363688e-05	0.0300047061102743	2.93942198489977e-06	*	*	0.179432075462941	0.0450737732921481
ALG12	0.167427212875701	0.119333053937069	0.407148872424311	0.501975080674307	0.36723231630428	0.462604486111616			0.503037902333423	0.408282216001508
ALG5	-0.259225689686283	0.236192690283316	0.0138960704514939	0.0921536526503431	0.00735674318020266	0.074084308993413	*		0.126690071125507	0.272855747574358
ALG6	0.456270190611486	-1.44097235157647	0.0105285669607689	8.92435646363688e-05	0.00371596480968314	3.49974763279878e-06	*	*	0.175792854216851	0.110705581495648
ALG8	0.544206522845399	-1.17241495333791	0.0238249787045617	0.0154753026391713	0.0149490062459995	0.00697905805295963	*	*	0.342710763019119	0.638172658918626
RPN1	0.27187468992769	0.827299796635555	0.0113800535455542	0.00110911420235606	0.00481559043706649	0.000239220710312092	*	*	0.114580253452756	0.184469964846256
STT3A	-0.551449070556553	0.884179300269954	0.00263499800573495	0.000589211661702503	0.000380868901843246	8.29919075138861e-05	*	*	0.0980970472870115	0.150645734083239
STT3B	0.528549546032621	1.05061576295213	0.0113800535455542	0.00626453115574424	0.00465484361970251	0.00221101099614502	*	*	0.220145057157915	0.417665860356103
TMTC3	0.241033845199873	0.922305677400814	0.00819064584308219	0.0082667814725452	0.00250105485187026	0.00307978133290899	*	*	0.0810561174589914	0.400777762648399
DPY19L1	0.00842913754153123	0.672294757533271	0.916478184620521	0.0231199894792373	0.898508024137765	0.0117866613031406		*	0.193469866910224	0.425233890239763
DPM1	0.230588559903929	0.104264983634626	0.0386590189602643	0.270936891527876	0.0265587732634453	0.239061963112832	*		0.179780327443106	0.20942963341395
DPM3	0.188400304068067	0.112688791610367	0.0138960704514939	0.0318543380132109	0.00703915355392685	0.0193624407531282	*	*	0.0906578032046586	0.0826751156837896
AG10B	-0.764463663587407	-0.890135769162059	0.0138960704514939	0.0144182331880794	0.00733096142379215	0.00621963000270093	*	*	0.373151096303459	0.46911672726453
CKAP4	0.859689657822103	3.57843701221945	0.00464662969170854	0.000455931681849519	0.00118443501945512	5.36390213940611e-05	*	*	0.224172499900754	0.545994522143323
D19L3	-0.507032346411848	0.252474119924412	0.0876841097177778	0.102435784313026	0.0722104432969935	0.0843588811989629			0.592027250143274	0.306830453044696
G3P	1.07522575200591	0.836136072105322	9.95412849042376e-05	0.0248414790309728	5.85536970024927e-06	0.0131513712516915	*	*	0.0473938381375269	0.546149914303624
GPT	0.0192481414408501	0.0139679438130786	0.904108160570582	0.894830847058236	0.868652938587421	0.877285144174741			0.340386587154555	0.235692927653289
S61A1	0.438870921906522	1.24614179110375	0.0113800535455542	0.000403128473622113	0.00535531931555493	3.95223993747169e-05	*	*	0.191921240348956	0.176032989927838
SEC63	0	0	NA	NA	NA	NA	NA	NA	0	0
TBA1A	0.114310915754891	0.405555908178461	0.0619079786375571	0.0707790670166631	0.0497691592968597	0.0513495192081674			0.114094699479236	0.409385631278334
